datetime,city,country,latitude,longitude,temperature,humidity,pressure,wind_direction,wind_speed,weather_condition
2012-10-13 12:00:00,San Francisco,United States,37.774929,-122.419418,285.81,87.0,1016.0,260.0,2.0,rainy
2012-10-19 06:00:00,San Francisco,United States,37.774929,-122.419418,289.82,39.0,1012.0,0.0,0.0,thunderstorm
2012-11-04 18:00:00,San Francisco,United States,37.774929,-122.419418,289.46,52.0,1020.0,0.0,0.0,sunny
2012-11-05 18:00:00,San Francisco,United States,37.774929,-122.419418,291.55,64.0,1023.0,0.0,0.0,foggy
2012-11-05 19:00:00,San Francisco,United States,37.774929,-122.419418,292.75,69.0,1023.0,19.0,0.0,sunny
2012-12-05 23:00:00,San Francisco,United States,37.774929,-122.419418,288.52,72.0,1022.0,310.0,1.0,rainy
2012-12-14 12:00:00,San Francisco,United States,37.774929,-122.419418,277.23,81.0,1013.0,230.0,1.0,snowy
2012-12-14 14:00:00,San Francisco,United States,37.774929,-122.419418,276.82,81.0,1013.0,210.0,1.0,snowy
2012-12-15 06:00:00,San Francisco,United States,37.774929,-122.419418,278.21,66.0,1012.0,0.0,0.0,snowy
2012-12-15 07:00:00,San Francisco,United States,37.774929,-122.419418,277.71,75.0,1012.0,0.0,0.0,snowy
2012-12-15 08:00:00,San Francisco,United States,37.774929,-122.419418,277.44,75.0,1012.0,210.0,2.0,snowy
2012-12-15 09:00:00,San Francisco,United States,37.774929,-122.419418,277.03,81.0,1011.0,210.0,1.0,snowy
2012-12-15 10:00:00,San Francisco,United States,37.774929,-122.419418,277.33,75.0,1011.0,200.0,1.0,snowy
2012-12-15 11:00:00,San Francisco,United States,37.774929,-122.419418,278.07,81.0,1011.0,150.0,2.0,snowy
2012-12-15 12:00:00,San Francisco,United States,37.774929,-122.419418,278.05,81.0,1010.0,140.0,3.0,snowy
2012-12-16 07:00:00,San Francisco,United States,37.774929,-122.419418,278.41,75.0,1017.0,0.0,0.0,snowy
2012-12-16 08:00:00,San Francisco,United States,37.774929,-122.419418,277.91,81.0,1017.0,270.0,2.0,snowy
2012-12-16 09:00:00,San Francisco,United States,37.774929,-122.419418,277.72,81.0,1017.0,0.0,0.0,snowy
2012-12-16 10:00:00,San Francisco,United States,37.774929,-122.419418,277.28,81.0,1018.0,190.0,1.0,snowy
2012-12-16 11:00:00,San Francisco,United States,37.774929,-122.419418,277.31,81.0,1017.0,0.0,0.0,snowy
2012-12-16 12:00:00,San Francisco,United States,37.774929,-122.419418,276.99,86.0,1017.0,270.0,1.0,snowy
2012-12-16 13:00:00,San Francisco,United States,37.774929,-122.419418,276.74,86.0,1017.0,270.0,1.0,snowy
2012-12-16 17:00:00,San Francisco,United States,37.774929,-122.419418,278.92,75.0,1019.0,100.0,1.0,cloudy
2012-12-18 11:00:00,San Francisco,United States,37.774929,-122.419418,285.38,82.0,1017.0,170.0,6.0,foggy
2012-12-18 16:00:00,San Francisco,United States,37.774929,-122.419418,285.44,87.0,1017.0,200.0,3.0,rainy
2012-12-19 22:00:00,San Francisco,United States,37.774929,-122.419418,284.2,50.0,1018.0,300.0,9.0,cloudy
2012-12-23 19:00:00,San Francisco,United States,37.774929,-122.419418,284.84,71.0,1015.0,240.0,4.0,foggy
2013-01-04 05:00:00,San Francisco,United States,37.774929,-122.419418,278.73,65.0,1021.0,0.0,0.0,snowy
2013-01-04 07:00:00,San Francisco,United States,37.774929,-122.419418,277.18,70.0,1022.0,0.0,0.0,snowy
2013-01-04 08:00:00,San Francisco,United States,37.774929,-122.419418,277.45,70.0,1022.0,0.0,0.0,snowy
2013-01-04 10:00:00,San Francisco,United States,37.774929,-122.419418,275.84,80.0,1022.0,0.0,1.0,snowy
2013-01-04 11:00:00,San Francisco,United States,37.774929,-122.419418,275.13,80.0,1022.0,0.0,0.0,snowy
2013-01-04 12:00:00,San Francisco,United States,37.774929,-122.419418,275.26,75.0,1022.0,0.0,0.0,snowy
2013-01-04 13:00:00,San Francisco,United States,37.774929,-122.419418,274.48,86.0,1022.0,0.0,0.0,snowy
2013-01-16 16:00:00,San Francisco,United States,37.774929,-122.419418,274.49,86.0,1032.0,0.0,0.0,snowy
2013-01-18 05:00:00,San Francisco,United States,37.774929,-122.419418,278.41,75.0,1025.0,40.0,2.0,snowy
